PunktID;BaumNr;geometry;gattung_deutsch;Winkel;Distanz;Temperatur;Feuchte;Uhrzeit;Anmerkungen;
GP_68_1;68;387283.09429995, 5823102.45229966;Buche;-10;0,5;15,6;37,3;09:10;;
GP_68_2;68;;Buche;;6,15;15,9;25,5;;;
GP_68_3;68;;Buche;;10,39;15,5;34,2;;unter anderen Bäumen;
GP_68_4;68;;Buche;;15,16;15,4;25,5;;unter anderen Bäumen;
GP_68_5;68;;Buche;93;0,5;15,9;29,9;;;
GP_68_6;68;;Buche;;0,56;16;15,4;;;
GP_68_7;68;;Buche;;9,7;17,9;29,6;;;
GP_68_8;68;;Buche;;15,14;17,5;23,4;;;
GP_68_9;68;;Buche;171;0,5;15,5;27,5;09:20;;
GP_68_10;68;;Buche;;5,3;15,8;16,3;;;
GP_68_11;68;;Buche;;14,38;17,9;15,2;;;
GP_68_12;68;;Buche;;15,14;18,4;21,6;;;
GP_68_13;68;;Buche;273;0,5;15,5;26,3;;;
GP_68_14;68;;Buche;;7,06;15,2;31,4;;;
GP_68_15;68;;Buche;;9,48;15;19,8;;unter anderen Bäumen;
GP_68_16;68;;Buche;;15,19;14,9;20,7;;unter anderen Bäumen;
;;;;;;;;;;
GP_57_1;57;387342.31389995, 5823147.32189966;Eiche;15;0,5;16,6;27,4;08:46;;
GP_57_2;57;;Eiche;;1,89;17,2;37,7;;;
GP_57_3;57;;Eiche;;4,46;;;;Gehweg;
GP_57_4;57;;Eiche;;8,03;17,1;26,3;;;
GP_57_5;57;;Eiche;89;0,5;16,6;22,3;;;
GP_57_6;57;;Eiche;;1,23;17,7;34,9;;;
GP_57_7;57;;Eiche;;7,2;17,5;24,8;;;
GP_57_8;57;;Eiche;;8,33;18;26,7;;;
GP_57_9;57;;Eiche;172;0,5;16,3;24,3;;;
GP_57_10;57;;Eiche;;0,58;16,5;25;;;
GP_57_11;57;;Eiche;;4,83;18,7;16,3;;;
GP_57_12;57;;Eiche;;8,11;18,4;28,8;;;
GP_57_13;57;;Eiche;270;0,5;16,4;24,7;;;
GP_57_14;57;;Eiche;;1,57;16,5;11,7;;;
GP_57_15;57;;Eiche;;5,71;;;;Gehweg;
GP_57_16;57;;Eiche;;8,35;;;;Gehweg;
;;;;;;;;;;
GP_48_1;48;387395.93829995, 5823098.01059966;Platane;-7;0,5;;;;steinig;
GP_48_2;48;;Platane;;0,5;;;;Gehweg;
GP_48_3;48;;Platane;;9,06;;;;Gebüsch;
GP_48_4;48;;Platane;;12,01;;;;Gebüsch;
GP_48_5;48;;Platane;77;0,5;;;;Gehweg;
GP_48_6;48;;Platane;;5;;;;Gehweg;
GP_48_7;48;;Platane;;11,66;;;;Gehweg;
GP_48_8;48;;Platane;;12,13;;;;Gehweg;
GP_48_9;48;;Platane;186;0,5;;;;steinig;
GP_48_10;48;;Platane;;1,85;;;;Gehweg;
GP_48_11;48;;Platane;;8,34;;;;Gebüsch;
GP_48_12;48;;Platane;;12,05;;;;Gebüsch;
GP_48_13;48;;Platane;263;0,5;;;;steinig;
GP_48_14;48;;Platane;;4,01;16,9;26,4;;;
GP_48_15;48;;Platane;;11,74;16,9;29,7;;;
GP_48_16;48;;Platane;;12,28;17;26,3;;;
;;;;;;;;;;
GP_42_1;42;387393.41349995, 5823089.07289966;Hainbuche;3;0,5;15,6;29,9;;;
GP_42_2;42;;Hainbuche;;1,48;15,3;28,7;;;
GP_42_3;42;;Hainbuche;;10,82;;;;Gebüsch;
GP_42_4;42;;Hainbuche;;11,33;;;;Gebüsch;
GP_42_5;42;;Hainbuche;95;0,5;15,9;24,9;09:45;;
GP_42_6;42;;Hainbuche;;1,72;15,9;22;;;
GP_42_7;42;;Hainbuche;;7,98;;;;Gehweg;
GP_42_8;42;;Hainbuche;;11,11;16;26,4;;;
GP_42_9;42;;Hainbuche;170;0,5;15,7;29,4;;;
GP_42_10;42;;Hainbuche;;5,34;16;35,2;;;
GP_42_11;42;;Hainbuche;;8,08;;;;Gehweg;
GP_42_12;42;;Hainbuche;;11,39;;;;Gehweg;
GP_42_13;42;;Hainbuche;280;0,5;16;14,3;;Efeu;
GP_42_14;42;;Hainbuche;;4,05;16;16,6;;steinig;
GP_42_15;42;;Hainbuche;;10,81;16,8;20,5;;;
GP_42_16;42;;Hainbuche;;11,04;16,7;22,9;;;
;;;;;;;;;;
GP_36_1;36;387381.31449995, 5823068.97549966;Birke;-11;0,5;16,8;20,5;10:00;;
GP_36_2;36;;Birke;;2,44;16,5;26,9;;;
GP_36_3;36;;Birke;;7,43;16,5;25,6;;;
GP_36_4;36;;Birke;;9,03;16,2;25,3;;;
GP_36_5;36;;Birke;101;0,5;16,6;30,3;;;
GP_36_6;36;;Birke;;3,57;17,8;48,2;;Gehwegentwässerung;
GP_36_7;36;;Birke;;5,76;;;;Gehweg;
GP_36_8;36;;Birke;;9,26;;;;Gehweg;
GP_36_9;36;;Birke;189;0,5;16,6;23,6;;;
GP_36_10;36;;Birke;;1,51;16,6;22,6;;;
GP_36_11;36;;Birke;;7,65;17,5;23,7;;;
GP_36_12;36;;Birke;;9,09;17,5;22,7;;;
GP_36_13;36;;Birke;264;0,5;16,5;16,4;;;
GP_36_14;36;;Birke;;2,4;16,2;19,7;;;
GP_36_15;36;;Birke;;8,97;16,2;26,8;;;
GP_36_16;36;;Birke;;9,26;16,3;19,7;;;
;;;;;;;;;;
GP_55_1;55;387393.74689995, 5823120.58979966;Birke;2;0,5;18,9;22,8;;;
GP_55_2;55;;Birke;;1,5;;;;Gehweg;
GP_55_3;55;;Birke;;6,66;;;;Gehweg;
GP_55_4;55;;Birke;;10,36;;;;Gehweg;
GP_55_5;55;;Birke;84;0,5;18,8;20;;;
GP_55_6;55;;Birke;;1,51;;;;Gehweg;
GP_55_7;55;;Birke;;8,52;;;;Gehweg;
GP_55_8;55;;Birke;;10,26;;;;Gehweg;
GP_55_9;55;;Birke;177;0,5;;;;steinig / Wurzel;
GP_55_10;55;;Birke;;3,63;18,1;26,5;;;
GP_55_11;55;;Birke;;5,74;17,5;25,3;;;
GP_55_12;55;;Birke;;10,45;16,3;22,6;;;
GP_55_13;55;;Birke;255;0,5;18,3;19,2;;;
GP_55_14;55;;Birke;;1,8;18,8;17,5;;;
GP_55_15;55;;Birke;;9,37;17,9;32,4;;;
GP_55_16;55;;Birke;;10,4;17,8;22,3;;;
;;;;;;;;;;
GP_16_1;16;387328.30449995, 5823044.36319966;Hasel;14;0,5;15;15,8;10:30;;Unterholz
GP_16_2;16;;Hasel;;0,67;14,9;21,5;;;Unterholz
GP_16_3;16;;Hasel;;4,68;14,6;17,7;;;Unterholz
GP_16_4;16;;Hasel;;5,16;;;;Baum;Unterholz
GP_16_5;16;;Hasel;76;0,5;15,3;23,8;;;Unterholz
GP_16_6;16;;Hasel;;0,68;15;23,3;;;Unterholz
GP_16_7;16;;Hasel;;3,69;15,3;21,3;;;Unterholz
GP_16_8;16;;Hasel;;5,44;15,6;9,6;;sandig;Unterholz
GP_16_9;16;;Hasel;168;0,5;15,6;13,8;;sehr locker + Hang;Unterholz
GP_16_10;16;;Hasel;;0,98;15,3;12,9;;sehr locker + Hang;Unterholz
GP_16_11;16;;Hasel;;2,76;15,7;11,7;;sehr locker + Hang;Unterholz
GP_16_12;16;;Hasel;;5,16;15,5;14,5;;sehr locker + Hang;Unterholz
GP_16_13;16;;Hasel;258;0,5;15,2;17,6;;;Unterholz
GP_16_14;16;;Hasel;;1,48;15,7;23,8;;;
GP_16_15;16;;Hasel;;3,41;17;31,7;;;
GP_16_16;16;;Hasel;;5,21;17;23,8;;;
;;;;;;;;;;
GP_08_1;8;387323.37109995, 5823018.82749966;Robinie;1;0,5;nicht errichbar / auffindbar + brennesseln + Gebüsch + Unterholz;;;;
GP_08_2;8;;Robinie;;4,3;;;;;
GP_08_3;8;;Robinie;;6,42;;;;;
GP_08_4;8;;Robinie;;9,21;;;;;
GP_08_5;8;;Robinie;90;0,5;;;;;
GP_08_6;8;;Robinie;;2,88;;;;;
GP_08_7;8;;Robinie;;8,14;;;;;
GP_08_8;8;;Robinie;;9,36;;;;;
GP_08_9;8;;Robinie;178;0,5;;;;;
GP_08_10;8;;Robinie;;2,08;;;;;
GP_08_11;8;;Robinie;;6,68;;;;;
GP_08_12;8;;Robinie;;9,46;;;;;
GP_08_13;8;;Robinie;268;0,5;;;;;
GP_08_14;8;;Robinie;;4,49;;;;;
GP_08_15;8;;Robinie;;8,48;;;;;
GP_08_16;8;;Robinie;;9,12;;;;;
;;;;;;;;;;
GP_63_1;63;387283.05099995, 5823110.75409966;Buche;11;0,5;16,1;18,4;;;
GP_63_2;63;;Buche;;0,55;15,9;28,8;;;
GP_63_3;63;;Buche;;7,76;15,8;32,4;;;
GP_63_4;63;;Buche;;10,48;16,4;30,5;;;
GP_63_5;63;;Buche;94;0,5;16,3;26,1;;;
GP_63_6;63;;Buche;;3,54;17,7;26,9;;;
GP_63_7;63;;Buche;;9,01;19,1;25,9;;Sonne;
GP_63_8;63;;Buche;;10,13;19,1;28,3;;Sonne;
GP_63_9;63;;Buche;181;0,5;16;32,6;;;
GP_63_10;63;;Buche;;0,85;16,2;21,1;;;
GP_63_11;63;;Buche;;8,24;16,1;29,8;;;
GP_63_12;63;;Buche;;10,25;16;26,5;;;
GP_63_13;63;;Buche;267;0,5;16,3;23,5;;;
GP_63_14;63;;Buche;;0,59;16,1;22;;;
GP_63_15;63;;Buche;;5,73;15,5;34;;;
GP_63_16;63;;Buche;;10,19;15,1;25,1;;;
;;;;;;;;;;
GP_41_1;41;387394.16049995, 5823084.83589966;Hainbuche;-2;0,5;16;39,1;;;
GP_41_2;41;;Hainbuche;;1,12;16,1;12,1;;;
GP_41_3;41;;Hainbuche;;3,88;15,7;11,9;;;
GP_41_4;41;;Hainbuche;;7,04;16,4;8,4;;;
GP_41_5;41;;Hainbuche;96;0,5;16,1;33;;;
GP_41_6;41;;Hainbuche;;3,12;;;;Gehweg;
GP_41_7;41;;Hainbuche;;5,92;;;;Gehweg;
GP_41_8;41;;Hainbuche;;7,06;;;;Gehweg;
GP_41_9;41;;Hainbuche;171;0,5;16,5;32,2;;;
GP_41_10;41;;Hainbuche;;3,41;16,9;27,7;;;
GP_41_11;41;;Hainbuche;;5,52;;;;Gehweg;
GP_41_12;41;;Hainbuche;;7,07;;;;Gehweg;
GP_41_13;41;;Hainbuche;282;0,5;15,6;29,6;;;
GP_41_14;41;;Hainbuche;;3,31;16,5;23,5;;;
GP_41_15;41;;Hainbuche;;4,5;16,7;30,9;;;
GP_41_16;41;;Hainbuche;;7,42;17;24,9;;;
